Table,IsTableRepeat,IsItemRepeat,Id,Name,Desc
0,False,False,1000,"""強力破壞者・改""","""【STR+165 DEF+3】\n　搜查一課採用的旋棍型警棍，用於拘捕犯罪者。"""
0,False,False,1001,"""雙釘棍""","""【STR+180 DEF+4】\n　棍身插著大量鋼釘，看上去很粗曠的旋棍。"""
0,False,False,1002,"""螺紋雙棍""","""【STR+200 DEF+5 回避率+10％】\n　整個棍身增加了旋轉功能，攻守效果均有增強的改造型旋棍。"""
0,False,False,1003,"""罪犯剋星""","""【STR+230 DEF+6】\n　以壓制性能為主的小型旋棍，使用起來非常順手。"""
0,False,False,1004,"""集團破壞者""","""【STR+250 DEF+8 「昏厥」+10％】\n　針對與集團作戰而進行過改造的重量級改造旋棍。"""
0,False,False,1005,"""猛虎棍""","""【STR+280 DEF+10】\n　流傳在東方的洗鍊旋棍，暗藏著猛烈的力量。"""
0,False,False,1006,"""玄象棍""","""【STR+310 DEF+12 回避率+10％】\n　經過特殊的表面處理，外觀非常優美的強化旋棍。"""
0,False,False,1007,"""捕捉者""","""【STR+350 DEF+24】\n　在製造過程中對性能精益求精，攻守皆優的旋棍型警棍。"""
0,False,False,1008,"""裂地棍""","""【STR+400 DEF+16 附加「昏厥」+10％】\n　在尖端加裝了特殊鋼鐵的改造旋棍，具有凶惡的攻擊力。"""
0,False,False,1009,"""神聖五芒星""","""【STR+440 DEF+36】\n　亞爾特利亞法典國通用的旋棍，截面上印有五芒星圖形。"""
0,False,False,1010,"""零・破壞者""","""【STR+550 DEF+50 SPD+5】\n　兄長蓋曾使用過的旋棍型警棍，不可思議地用起來非常順手。"""
0,False,False,1011,"""七星擊""","""【STR+520 DEF+40 附加「昏厥」+15％】\n　以精煉的七耀石打造，可打破一切的強化旋棍。"""
0,False,False,1012,"""雷神之佑""","""【STR+620 DEF+45 回避率+10％】\n　曾被封印在神界的神槌，可給予持有人極大程度的守護。"""
0,False,False,1013,"""無限之光""","""【STR+700 DEF+60 SPD+10 回避率+15％】\n　用神秘礦石精煉而成的旋棍，擊中的物體會散發閃光粉碎。"""
0,False,False,1014,"""鋼管旋棍""","""【STR+350 DEF+10】\n　用鋼管當場隨手製作的旋棍。"""
0,False,False,1021,"""可愛淑女""","""【STR+175 RNG+4 命中率+5％】\n　帝國萊恩福爾特公司開發的競技用導力槍，外觀優美。"""
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,True,0,,
0,False,False,1022,"""即興劇""","""【STR+195 RNG+5 命中率+25％】\n　強化了槍柄，同時提升了火力與穩定性的改造導力槍。"""
0,False,False,1023,"""紅色櫻草Ⅱ""","""【STR+220 RNG+4 命中率+5％】\n　共和國烏爾努公司製造的優雅導力槍系列的第二代產品。"""
